accidentId,region_id,relationship
AE_FIRE_EM_00183,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00184,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00185,REG_서귀포시_동홍동,OCCURRED_IN_REGION
AE_FIRE_EM_00186,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00187,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00188,REG_서귀포시_서호동,OCCURRED_IN_REGION
AE_FIRE_EM_00189,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00190,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00191,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00192,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00193,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00194,REG_서귀포시_중문동,OCCURRED_IN_REGION
AE_FIRE_EM_00195,REG_서귀포시_하원동,OCCURRED_IN_REGION
AE_FIRE_EM_00196,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00197,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00198,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00199,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00200,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00201,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00202,REG_제주시_우도면,OCCURRED_IN_REGION
AE_FIRE_EM_00203,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00204,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00205,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00206,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00207,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00208,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00209,REG_서귀포시_신효동,OCCURRED_IN_REGION
AE_FIRE_EM_00210,REG_서귀포시_상효동,OCCURRED_IN_REGION
AE_FIRE_EM_00211,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00212,REG_서귀포시_강정동,OCCURRED_IN_REGION
AE_FIRE_EM_00213,REG_서귀포시_하원동,OCCURRED_IN_REGION
AE_FIRE_EM_00214,REG_서귀포시_중문동,OCCURRED_IN_REGION
AE_FIRE_EM_00215,REG_서귀포시_대포동,OCCURRED_IN_REGION
AE_FIRE_EM_00216,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00217,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00218,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00219,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00220,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00221,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00222,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00223,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00224,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00225,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00226,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00227,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00228,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00229,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00230,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00231,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00232,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00233,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00234,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00235,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00236,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00237,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00238,REG_제주시_한경면,OCCURRED_IN_REGION
AE_FIRE_EM_00239,REG_제주시_한경면,OCCURRED_IN_REGION
AE_FIRE_EM_00240,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00241,REG_서귀포시_대정읍,OCCURRED_IN_REGION
AE_FIRE_EM_00242,REG_서귀포시_대정읍,OCCURRED_IN_REGION
AE_FIRE_EM_00243,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00244,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00245,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00246,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00247,REG_서귀포시_대포동,OCCURRED_IN_REGION
AE_FIRE_EM_00248,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00249,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00250,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00251,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00252,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00253,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00254,REG_서귀포시_하예동,OCCURRED_IN_REGION
AE_FIRE_EM_00255,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00256,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00257,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00258,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00259,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00260,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00261,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00262,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00263,REG_제주시_아라일동,OCCURRED_IN_REGION
AE_FIRE_EM_00264,REG_서귀포시_대정읍,OCCURRED_IN_REGION
AE_FIRE_EM_00265,REG_제주시_우도면,OCCURRED_IN_REGION
AE_FIRE_EM_00266,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00267,REG_제주시_우도면,OCCURRED_IN_REGION
AE_FIRE_EM_00268,REG_제주시_우도면,OCCURRED_IN_REGION
AE_FIRE_EM_00269,REG_제주시_우도면,OCCURRED_IN_REGION
AE_FIRE_EM_00270,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00271,REG_제주시_한림읍,OCCURRED_IN_REGION
AE_FIRE_EM_00272,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00273,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00274,REG_제주시_애월읍,OCCURRED_IN_REGION
