placeId,riskScore,riskBasis,nearbyAnnualAvg,regionAnnualAvg
P325,0.3965,nearby_1km,5.0,134.0
P326,0.5669,region_only,0.0,103.67
P327,0.1982,nearby_1km,2.0,120.33
P328,0.2423,nearby_1km,2.5,134.0
P329,0.2423,nearby_1km,2.5,57.0
P330,0.1982,nearby_1km,2.0,55.33
P331,0.5426,nearby_1km,9.0,101.33
P332,0.3443,nearby_1km,4.0,0.0
P333,0.4961,nearby_1km,7.5,134.0
P334,0.3965,nearby_1km,5.0,4.0
P335,0.2423,nearby_1km,2.5,27.0
P336,0.4194,nearby_1km,5.5,120.33
P337,0.0,nearby_1km,0.5,117.0
P338,0.3716,nearby_1km,4.5,10.67
P339,0.564,region_only,0.0,101.33
P340,0.7615,nearby_1km,20.5,101.33
P341,0.3965,nearby_1km,5.0,54.67
P342,0.0,nearby_1km,0.5,4.67
P343,0.0823,nearby_1km,1.0,2.0
P344,0.5825,nearby_1km,10.5,11.33
P345,0.4961,nearby_1km,7.5,5.0
P346,0.2805,nearby_1km,3.0,16.67
P347,0.0,nearby_1km,0.5,54.67
P348,0.3965,nearby_1km,5.0,101.33
P349,0.1982,nearby_1km,2.0,54.67
P350,0.5124,nearby_1km,8.0,79.33
P351,0.1461,nearby_1km,1.5,103.67
P352,0.0,nearby_1km,0.5,5.67
P353,0.0,nearby_1km,0.5,24.0
P354,0.3716,nearby_1km,4.5,103.67
P355,0.0,nearby_1km,0.5,27.67
P356,0.1883,region_only,0.0,4.67
P357,0.3716,nearby_1km,4.5,15.67
P358,0.0,nearby_1km,0.5,12.0
P359,0.296,region_only,0.0,12.0
P360,0.3443,nearby_1km,4.0,12.0
P361,0.5698,nearby_1km,10.0,134.0
P362,0.2423,nearby_1km,2.5,134.0
P363,0.0,nearby_1km,0.5,117.0
P364,0.4961,nearby_1km,7.5,120.33
P365,0.4865,region_only,0.0,55.33
P366,0.5825,region_only,0.0,117.0
P367,0.5426,nearby_1km,9.0,32.0
P368,0.1461,nearby_1km,1.5,12.0
P369,0.1461,nearby_1km,1.5,120.33
P370,0.5279,nearby_1km,8.5,134.0
P371,0.5825,region_only,0.0,117.0
P372,0.296,region_only,0.0,12.0
P373,0.0,nearby_1km,0.5,10.33
P374,0.2423,nearby_1km,2.5,134.0
P375,0.5669,region_only,0.0,103.67
P376,0.0823,nearby_1km,1.0,103.67
P377,0.1461,nearby_1km,1.5,103.67
P378,0.4194,nearby_1km,5.5,57.0
P379,0.4903,region_only,0.0,57.0
P380,0.0823,nearby_1km,1.0,117.0
P381,0.2423,nearby_1km,2.5,101.33
P382,0.2576,region_only,0.0,8.67
P383,0.485,region_only,0.0,54.67
P384,0.0823,nearby_1km,1.0,32.0
P385,0.4406,nearby_1km,6.0,117.0
P386,0.2094,region_only,0.0,5.67
P387,0.1461,nearby_1km,1.5,10.67
P388,0.6284,nearby_1km,12.5,101.33
P389,0.3142,nearby_1km,3.5,101.33
P390,0.1982,nearby_1km,2.0,120.33
P391,0.2423,nearby_1km,2.5,54.67
P392,0.3443,nearby_1km,4.0,134.0
P393,0.0,nearby_1km,0.5,32.0
P394,0.1982,nearby_1km,2.0,54.67
P395,0.2805,nearby_1km,3.0,5.67
P396,0.5669,region_only,0.0,103.67
P397,0.2094,region_only,0.0,5.67
P398,0.0,nearby_1km,0.5,103.67
P399,0.485,region_only,0.0,54.67
P400,0.3142,nearby_1km,3.5,103.67
P401,0.1461,nearby_1km,1.5,5.67
P402,0.5792,region_only,0.0,114.0
P403,0.2805,nearby_1km,3.0,65.67
P404,0.4903,region_only,0.0,57.0
P405,0.6388,nearby_1km,13.0,3.0
P406,0.3142,nearby_1km,3.5,11.0
P407,0.3716,nearby_1km,4.5,103.67
P408,0.0823,nearby_1km,1.0,117.0
P409,0.1982,nearby_1km,2.0,117.0
P410,0.2423,nearby_1km,2.5,117.0
P411,0.4406,nearby_1km,6.0,120.33
P412,0.5825,region_only,0.0,117.0
P413,0.1982,nearby_1km,2.0,103.67
P414,0.5124,nearby_1km,8.0,27.0
P415,0.3443,nearby_1km,4.0,117.0
P416,0.0823,nearby_1km,1.0,54.67
P417,0.4961,nearby_1km,7.5,15.67
P418,0.7261,nearby_1km,18.0,134.0
P419,0.0823,nearby_1km,1.0,57.0
P420,0.564,region_only,0.0,101.33
P421,0.0,nearby_1km,0.5,114.0
P422,0.0823,nearby_1km,1.0,114.0
P423,0.2805,nearby_1km,3.0,117.0
P424,0.0,nearby_1km,0.5,120.33
P425,0.0,nearby_1km,0.5,66.33
P426,0.1461,nearby_1km,1.5,79.33
P427,0.0,nearby_1km,0.5,134.0
P428,0.1982,nearby_1km,2.0,79.33
P429,0.0823,nearby_1km,1.0,114.0
P430,0.1982,nearby_1km,2.0,101.33
P431,0.0,nearby_1km,0.5,103.67
P432,0.5669,region_only,0.0,103.67
P433,0.1461,nearby_1km,1.5,103.67
P434,0.4194,nearby_1km,5.5,8.33
P435,0.3284,region_only,0.0,15.67
P436,0.5669,region_only,0.0,103.67
P437,0.1461,nearby_1km,1.5,4.0
P438,0.2423,nearby_1km,2.5,15.67
P439,0.3965,nearby_1km,5.0,5.33
