newsPid,placeName,kgPid,matchType,kgName,codeShift
P269,정주항,P251,EXACT,정주항,-18
P270,하고수동해변,P252,EXACT,하고수동해변,-18
P271,상추자마을길 1(상추자항 인근 해상),P253,PARTIAL,상추자마을길,-18
P271,상추자마을길 2(상추자항 방파제),P253,PARTIAL,상추자마을길,-18
P272,시크릿가든촬영지(씨에스호텔),P254,PARTIAL,시크릿가든촬영지,-18
P273,부대악오름,P255,EXACT,부대악오름,-18
P274,이호테우축제,P256,EXACT,이호테우축제,-18
P276,어리목계곡,P258,EXACT,어리목계곡,-18
P277,톨칸이,P259,EXACT,톨칸이,-18
P278,한라산어리목코스,P260,EXACT,한라산어리목코스,-18
P279,도새기축제,P261,EXACT,도새기축제,-18
P280,삼각봉,P262,EXACT,삼각봉,-18
P281,강병대교회,P263,EXACT,강병대교회,-18
P282,김한미술관&카페,P264,PARTIAL,김한미술관&카페3206,-18
P283,배령연대,P265,EXACT,배령연대,-18
P284,전농로 서사라문화거리,P266,EXACT,전농로 서사라문화거리,-18
P285,제주기독교순례길,P267,EXACT,제주기독교순례길,-18
P286,기독교순례길 1코스(순종의길),P268,EXACT,기독교순례길 1코스(순종의길),-18
P288,드르쿰다in 성산,P269,EXACT,드르쿰다in 성산,-19
P289,쇠와꽃 승마장,P270,EXACT,쇠와꽃 승마장,-19
P290,이랜드뮤지엄,P271,EXACT,이랜드뮤지엄,-19
P293,사계용머리해안,P015,PARTIAL,용머리해안,-278
P294,제주국제평화센터,P273,EXACT,제주국제평화센터,-21
P295,SOS박물관,P274,EXACT,SOS박물관,-21
P297,다끄네포구(용담포구),P276,EXACT,다끄네포구(용담포구),-21
P298,용두암해안도로카페거리,P277,EXACT,용두암해안도로카페거리,-21
P299,맬튼개갯담,P278,EXACT,맬튼개갯담,-21
P300,세화해안도로,P279,EXACT,세화해안도로,-21
P301,우도 봉수대,P280,EXACT,우도 봉수대,-21
P302,신양포구,P281,EXACT,신양포구,-21
P304,우도 비양도,P282,EXACT,우도 비양도,-22
P305,질그랭이센터,P283,EXACT,질그랭이센터,-22
P306,범섬,P284,EXACT,범섬,-22
P307,곤물,P285,EXACT,곤물,-22
P308,서귀포자연휴양림,P286,EXACT,서귀포자연휴양림,-22
P309,화순금모래해수욕장,P287,EXACT,화순금모래해수욕장,-22
P310,화순금모래해수욕장담수수영장,P288,EXACT,화순금모래해수욕장담수수영장,-22
P312,대정오일장,P289,EXACT,대정오일장,-23
P313,중엄리새물,P290,EXACT,중엄리새물,-23
P314,해녀박물관,P291,EXACT,해녀박물관,-23
P315,석부작박물관,P292,EXACT,석부작박물관,-23
P316,숨도,P293,EXACT,숨도,-23
P317,왈종미술관,P294,EXACT,왈종미술관,-23
P318,한림공원 수선화축제,P295,EXACT,한림공원 수선화축제,-23
P319,한림공원 튤립축제,P296,EXACT,한림공원 튤립축제,-23
P320,한림공원국화축제,P297,EXACT,한림공원국화축제,-23
P321,한림공원매화축제,P298,EXACT,한림공원매화축제,-23
P322,해녀의부엌,P299,EXACT,해녀의부엌,-23
P323,해맞이해안도로 1(종달리 해맞이해안로 구간),P300,PARTIAL,해맞이해안도로,-23
P323,해맞이해안도로 2(조천리 조천해안도로 구간),P300,PARTIAL,해맞이해안도로,-23
P325,협자연대,P301,EXACT,협자연대,-24
P326,화순리 유채꽃길,P302,EXACT,화순리 유채꽃길,-24
P327,황금굴(한림공원),P303,EXACT,황금굴(한림공원),-24
P328,애월해안도로,P304,EXACT,애월해안도로,-24
P328,애월해안도로 2(고내리 해안도로·애월항 인근),P304,PARTIAL,애월해안도로,-24
P328,애월해안도로 3(애월항),P304,PARTIAL,애월해안도로,-24
P328,애월해안도로 4(애월항),P304,PARTIAL,애월해안도로,-24
P328,애월해안도로 5(고내리 해안도로),P304,PARTIAL,애월해안도로,-24
P328,애월해안도로 6(구엄리 해안도로),P304,PARTIAL,애월해안도로,-24
