placeId,nearbyAccidentRadius_m,nearbyAccidentPeriod,nearbyAccidentTotal,nearbyAccidentTypes,nearbyAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,nearbyRiskScore
P063,1000,2020-2021,13,"RP_TRAFFIC_01:8, RP_SLIP_TERRAIN:3, RP_MACHINE_01:2",6.5,0,0,0,0,0,0,0,2,3,8,0.0793
P064,1000,2020-2021,14,RP_TRAFFIC_01:14,7.0,0,0,0,0,0,0,0,0,0,14,0.0854
P065,1000,2020-2021,14,"RP_TRAFFIC_01:8, RP_SLIP_TERRAIN:4, RP_MACHINE_01:2",7.0,0,0,0,0,0,0,0,2,4,8,0.0854
P066,1000,2020-2021,22,"RP_SLIP_TERRAIN:11, RP_MACHINE_01:5, RP_TRAFFIC_01:5, RP_FALL_CLIFF:1",11.0,0,0,0,0,1,0,0,5,11,5,0.1341
P067,1000,2020-2021,5,"RP_ANIMAL_01:3, RP_SLIP_TERRAIN:2",2.5,3,0,0,0,0,0,0,0,2,0,0.0305
P068,1000,2020-2021,14,"RP_SLIP_TERRAIN:4, RP_TRAFFIC_01:3, RP_MACHINE_01:3, RP_FALL_CLIFF:2, RP_DROWN_01:1, RP_ANIMAL_01:1",7.0,1,0,0,1,2,0,0,3,4,3,0.0854
P069,1000,2020-2021,1,RP_SLIP_TERRAIN:1,0.5,0,0,0,0,0,0,0,0,1,0,0.0061
P070,1000,2020-2021,157,"RP_TRAFFIC_01:84, RP_SLIP_TERRAIN:51, RP_MACHINE_01:12, RP_FALL_CLIFF:6, RP_ANIMAL_01:2, RP_DROWN_01:1, RP_CO_01:1",78.5,2,0,1,1,6,0,0,12,51,84,0.9573
P071,1000,2020-2021,8,"RP_TRAFFIC_01:5, RP_SLIP_TERRAIN:2, RP_MACHINE_01:1",4.0,0,0,0,0,0,0,0,1,2,5,0.0488
P072,1000,2020-2021,28,"RP_SLIP_TERRAIN:16, RP_MACHINE_01:6, RP_TRAFFIC_01:6",14.0,0,0,0,0,0,0,0,6,16,6,0.1707
P073,1000,2020-2021,19,"RP_SLIP_TERRAIN:8, RP_TRAFFIC_01:8, RP_MACHINE_01:2, RP_CO_01:1",9.5,0,0,1,0,0,0,0,2,8,8,0.1159
P074,1000,2020-2021,1,RP_TRAFFIC_01:1,0.5,0,0,0,0,0,0,0,0,0,1,0.0061
P076,1000,2020-2021,8,"RP_MACHINE_01:4, RP_TRAFFIC_01:3, RP_SLIP_TERRAIN:1",4.0,0,0,0,0,0,0,0,4,1,3,0.0488
