accidentId,risk_id,relationship,accident_type,attribution
AE_NEWS_0461,RP_ROCKFALL_01,EVIDENCES,싱크홀,PLACE_CONFIRMED_NEWS
AE_NEWS_0462,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0463,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0464,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0465,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0466,RP_NIGHT_01,EVIDENCES,야간위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0467,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0468,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0469,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0470,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0471,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0472,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0473,RP_ROCKFALL_01,EVIDENCES,낙석/붕괴,PLACE_CONFIRMED_NEWS
AE_NEWS_0474,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0477,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0478,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0479,RP_WAVE_02,EVIDENCES,풍랑,PLACE_CONFIRMED_NEWS
AE_NEWS_0480,RP_ANIMAL_01,EVIDENCES,자연환경/야생동물,PLACE_CONFIRMED_NEWS
AE_NEWS_0482,RP_MOUNTAIN_01,EVIDENCES,무리산행,PLACE_CONFIRMED_NEWS
AE_NEWS_0483,RP_SLIP_TERRAIN,EVIDENCES,비포장노면,PLACE_CONFIRMED_NEWS
AE_NEWS_0484,RP_MOUNTAIN_01,EVIDENCES,산악사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0485,RP_MOUNTAIN_01,EVIDENCES,무리산행,PLACE_CONFIRMED_NEWS
AE_NEWS_0486,RP_MOUNTAIN_01,EVIDENCES,무리산행,PLACE_CONFIRMED_NEWS
AE_NEWS_0487,RP_TRAFFIC_01,EVIDENCES,시설/인프라(교통위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0489,RP_MOUNTAIN_01,EVIDENCES,무리산행,PLACE_CONFIRMED_NEWS
AE_NEWS_0491,RP_SLIP_TERRAIN,EVIDENCES,골절,PLACE_CONFIRMED_NEWS
AE_NEWS_0492,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0493,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0500,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0501,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0502,RP_SLIP_TERRAIN,EVIDENCES,비포장노면,PLACE_CONFIRMED_NEWS
AE_NEWS_0503,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0504,RP_SLIP_TERRAIN,EVIDENCES,미끄럼/낙상,PLACE_CONFIRMED_NEWS
AE_NEWS_0505,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0506,RP_TRAFFIC_01,EVIDENCES,시설/차량충돌,PLACE_CONFIRMED_NEWS
AE_NEWS_0511,RP_SLIP_TERRAIN,EVIDENCES,지형/노면(낙상),PLACE_CONFIRMED_NEWS
AE_NEWS_0512,RP_SLIP_TERRAIN,EVIDENCES,지형/노면(낙상),PLACE_CONFIRMED_NEWS
AE_NEWS_0513,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0514,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0515,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0516,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0517,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0519,RP_DROWN_01,EVIDENCES,해상사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0521,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0523,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0524,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0525,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0529,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0530,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0531,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0533,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0534,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0537,RP_MOUNTAIN_01,EVIDENCES,무리산행,PLACE_CONFIRMED_NEWS
AE_NEWS_0538,RP_MOUNTAIN_01,EVIDENCES,무리산행,PLACE_CONFIRMED_NEWS
AE_NEWS_0539,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0540,RP_TRAFFIC_01,EVIDENCES,시설/인프라(교통위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0541,RP_SLIP_TERRAIN,EVIDENCES,지형/노면(낙상),PLACE_CONFIRMED_NEWS
AE_NEWS_0542,RP_TRAFFIC_01,EVIDENCES,시설/인프라(교통위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0543,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0545,RP_SLIP_TERRAIN,EVIDENCES,낙상,PLACE_CONFIRMED_NEWS
AE_NEWS_0546,RP_TRAFFIC_01,EVIDENCES,시설/인프라(교통위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0547,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0548,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0552,RP_SLIP_TERRAIN,EVIDENCES,지형/노면(미끄럼),PLACE_CONFIRMED_NEWS
AE_NEWS_0554,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0555,RP_DROWN_01,EVIDENCES,해양(익수위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0558,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0559,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0560,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0561,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0563,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0564,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0565,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0567,RP_TRAFFIC_01,EVIDENCES,시설/인프라(교통위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0568,RP_TRAFFIC_01,EVIDENCES,시설/인프라(교통위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0569,RP_SLIP_TERRAIN,EVIDENCES,지형/노면(계단위험),PLACE_CONFIRMED_NEWS
AE_NEWS_0570,RP_MOUNTAIN_01,EVIDENCES,무리산행,PLACE_CONFIRMED_NEWS
AE_NEWS_0571,RP_SLIP_TERRAIN,EVIDENCES,경사,PLACE_CONFIRMED_NEWS
AE_NEWS_0573,RP_WAVE_02,EVIDENCES,해양(파고),PLACE_CONFIRMED_NEWS
