placeId,recentAreaTotal,recentAreaTypes,recentAreaPeriod,recentAreaBasis
P756,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P772,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P776,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P786,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P795,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P809,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P810,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P811,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P824,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P862,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P864,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P868,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P881,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P888,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P892,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P899,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P912,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P925,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P067,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P306,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P307,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P309,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P373,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P557,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P613,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P816,9,낙상:9,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P069,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P097,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P115,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P312,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P329,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P379,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P404,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P419,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P509,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P531,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P548,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P561,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P578,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P580,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P595,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P596,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P610,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P611,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P624,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P748,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P755,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P791,28,낙상:18;기타 둔상:4;추락:3;온열손상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
