accidentId,profileId
AE_NEWS_0319,VP_03
AE_NEWS_0320,VP_01
AE_NEWS_0321,VP_01
AE_NEWS_0322,VP_02
AE_NEWS_0323,VP_01
AE_NEWS_0324,VP_02
AE_NEWS_0325,VP_02
AE_NEWS_0326,VP_02
AE_NEWS_0327,VP_02
AE_NEWS_0328,VP_02
AE_NEWS_0329,VP_03
AE_NEWS_0330,VP_02
AE_NEWS_0331,VP_01
AE_NEWS_0332,VP_01
AE_NEWS_0333,VP_01
AE_NEWS_0334,VP_02
AE_NEWS_0335,VP_02
AE_NEWS_0336,VP_01
AE_NEWS_0337,VP_01
AE_NEWS_0338,VP_01
AE_NEWS_0339,VP_02
AE_NEWS_0340,VP_01
AE_NEWS_0341,VP_01
AE_NEWS_0342,VP_02
AE_NEWS_0343,VP_02
AE_NEWS_0344,VP_01
AE_NEWS_0345,VP_03
AE_NEWS_0346,VP_03
AE_NEWS_0347,VP_01
AE_NEWS_0348,VP_02
AE_NEWS_0349,VP_02
AE_NEWS_0350,VP_02
AE_NEWS_0351,VP_02
AE_NEWS_0352,VP_02
AE_NEWS_0353,VP_01
AE_NEWS_0354,VP_01
AE_NEWS_0355,VP_03
AE_NEWS_0356,VP_01
AE_NEWS_0357,VP_03
AE_NEWS_0358,VP_01
AE_NEWS_0359,VP_02
AE_NEWS_0360,VP_01
AE_NEWS_0361,VP_01
AE_NEWS_0362,VP_01
AE_NEWS_0363,VP_01
AE_NEWS_0364,VP_02
AE_NEWS_0365,VP_02
AE_NEWS_0366,VP_02
AE_NEWS_0367,VP_03
AE_NEWS_0368,VP_01
AE_NEWS_0369,VP_03
AE_NEWS_0370,VP_01
AE_NEWS_0371,VP_02
AE_NEWS_0372,VP_01
AE_NEWS_0373,VP_02
AE_NEWS_0374,VP_02
AE_NEWS_0375,VP_01
AE_NEWS_0376,VP_01
AE_NEWS_0377,VP_02
AE_NEWS_0378,VP_01
AE_NEWS_0379,VP_02
AE_NEWS_0380,VP_02
AE_NEWS_0381,VP_01
AE_NEWS_0382,VP_01
AE_NEWS_0383,VP_02
AE_NEWS_0384,VP_01
AE_NEWS_0385,VP_01
AE_NEWS_0386,VP_02
AE_NEWS_0387,VP_01
AE_NEWS_0388,VP_01
AE_NEWS_0389,VP_03
AE_NEWS_0390,VP_02
AE_NEWS_0391,VP_01
AE_NEWS_0392,VP_02
AE_NEWS_0393,VP_01
AE_NEWS_0394,VP_01
AE_NEWS_0395,VP_02
AE_NEWS_0396,VP_01
AE_NEWS_0397,VP_02
AE_NEWS_0398,VP_01
AE_NEWS_0399,VP_01
AE_NEWS_0400,VP_02
AE_NEWS_0401,VP_01
AE_NEWS_0402,VP_02
AE_NEWS_0403,VP_02
AE_NEWS_0404,VP_01
AE_NEWS_0405,VP_01
AE_NEWS_0406,VP_01
AE_NEWS_0407,VP_01
AE_NEWS_0408,VP_01
AE_NEWS_0409,VP_01
AE_NEWS_0410,VP_01
AE_NEWS_0411,VP_02
AE_NEWS_0412,VP_02
AE_NEWS_0413,VP_03
AE_NEWS_0414,VP_02
AE_NEWS_0415,VP_01
AE_NEWS_0416,VP_01
AE_NEWS_0417,VP_01
AE_NEWS_0418,VP_01
AE_NEWS_0419,VP_01
AE_NEWS_0420,VP_01
AE_NEWS_0421,VP_02
AE_NEWS_0422,VP_01
AE_NEWS_0423,VP_01
AE_NEWS_0424,VP_01
AE_NEWS_0425,VP_01
AE_NEWS_0426,VP_02
AE_NEWS_0427,VP_01
AE_NEWS_0428,VP_01
AE_NEWS_0429,VP_01
AE_NEWS_0430,VP_01
AE_NEWS_0431,VP_01
AE_NEWS_0432,VP_02
AE_NEWS_0433,VP_01
AE_NEWS_0434,VP_02
AE_NEWS_0435,VP_01
AE_NEWS_0436,VP_01
AE_NEWS_0437,VP_02
AE_NEWS_0438,VP_02
AE_NEWS_0439,VP_01
AE_NEWS_0440,VP_01
AE_NEWS_0441,VP_01
AE_NEWS_0442,VP_02
AE_NEWS_0443,VP_01
AE_NEWS_0444,VP_02
AE_NEWS_0445,VP_03
AE_NEWS_0446,VP_02
AE_NEWS_0447,VP_01
AE_NEWS_0448,VP_03
AE_NEWS_0449,VP_01
AE_NEWS_0450,VP_01
AE_NEWS_0451,VP_02
AE_NEWS_0452,VP_02
AE_NEWS_0453,VP_02
AE_NEWS_0454,VP_01
AE_NEWS_0455,VP_02
AE_NEWS_0456,VP_02
AE_NEWS_0457,VP_02
AE_NEWS_0458,VP_01
AE_NEWS_0459,VP_01
AE_NEWS_0460,VP_02
AE_NEWS_0461,VP_01
AE_NEWS_0462,VP_01
AE_NEWS_0463,VP_02
AE_NEWS_0464,VP_01
AE_NEWS_0465,VP_01
AE_NEWS_0466,VP_02
AE_NEWS_0467,VP_02
AE_NEWS_0468,VP_01
AE_NEWS_0469,VP_02
AE_NEWS_0470,VP_02
AE_NEWS_0471,VP_01
AE_NEWS_0472,VP_02
AE_NEWS_0473,VP_01
AE_NEWS_0474,VP_01
AE_NEWS_0475,VP_02
AE_NEWS_0476,VP_01
AE_NEWS_0477,VP_01
AE_NEWS_0478,VP_03
AE_NEWS_0479,VP_02
AE_NEWS_0480,VP_02
AE_NEWS_0481,VP_02
AE_NEWS_0482,VP_01
AE_NEWS_0483,VP_01
AE_NEWS_0484,VP_01
AE_NEWS_0485,VP_01
AE_NEWS_0486,VP_01
AE_NEWS_0487,VP_01
AE_NEWS_0488,VP_01
AE_NEWS_0489,VP_01
AE_NEWS_0490,VP_01
AE_NEWS_0491,VP_01
AE_NEWS_0492,VP_01
AE_NEWS_0493,VP_01
AE_NEWS_0494,VP_01
AE_NEWS_0495,VP_01
AE_NEWS_0496,VP_01
AE_NEWS_0497,VP_01
AE_NEWS_0498,VP_01
AE_NEWS_0499,VP_01
AE_NEWS_0500,VP_01
AE_NEWS_0501,VP_01
AE_NEWS_0502,VP_02
AE_NEWS_0503,VP_02
AE_NEWS_0504,VP_02
AE_NEWS_0505,VP_01
AE_NEWS_0506,VP_01
AE_NEWS_0507,VP_01
AE_NEWS_0508,VP_01
AE_NEWS_0509,VP_01
AE_NEWS_0510,VP_01
AE_NEWS_0511,VP_02
AE_NEWS_0512,VP_02
AE_NEWS_0513,VP_02
AE_NEWS_0514,VP_02
AE_NEWS_0515,VP_02
AE_NEWS_0516,VP_02
AE_NEWS_0517,VP_02
AE_NEWS_0518,VP_01
AE_NEWS_0519,VP_01
AE_NEWS_0520,VP_03
AE_NEWS_0521,VP_03
AE_NEWS_0522,VP_01
AE_NEWS_0523,VP_03
AE_NEWS_0524,VP_02
AE_NEWS_0525,VP_03
AE_NEWS_0526,VP_01
AE_NEWS_0527,VP_01
AE_NEWS_0528,VP_01
AE_NEWS_0529,VP_02
AE_NEWS_0530,VP_01
AE_NEWS_0531,VP_01
AE_NEWS_0532,VP_01
AE_NEWS_0533,VP_01
