accidentId,placeId,relationship,distance_m
AE_FIRE_PT_00128,P196,OCCURRED_AT,224
AE_FIRE_PT_00129,P402,OCCURRED_AT,759
AE_FIRE_PT_00130,P402,OCCURRED_AT,759
AE_FIRE_PT_00131,P499,OCCURRED_AT,876
AE_FIRE_PT_00132,P997,OCCURRED_AT,212
AE_FIRE_PT_00134,P368,OCCURRED_AT,94
AE_FIRE_PT_00135,P769,OCCURRED_AT,985
AE_FIRE_PT_00136,P769,OCCURRED_AT,985
AE_FIRE_PT_00137,P735,OCCURRED_AT,52
AE_FIRE_PT_00138,P723,OCCURRED_AT,127
AE_FIRE_PT_00139,P178,OCCURRED_AT,135
AE_FIRE_PT_00140,P729,OCCURRED_AT,140
AE_FIRE_PT_00141,P131,OCCURRED_AT,482
AE_FIRE_PT_00142,P147,OCCURRED_AT,302
AE_FIRE_PT_00143,P781,OCCURRED_AT,969
AE_FIRE_PT_00144,P969,OCCURRED_AT,335
AE_FIRE_PT_00145,P053,OCCURRED_AT,106
AE_FIRE_PT_00146,P183,OCCURRED_AT,10
AE_FIRE_PT_00147,P172,OCCURRED_AT,38
AE_FIRE_PT_00149,P251,OCCURRED_AT,388
AE_FIRE_PT_00150,P135,OCCURRED_AT,160
AE_FIRE_PT_00151,P266,OCCURRED_AT,453
AE_FIRE_PT_00153,P226,OCCURRED_AT,737
AE_FIRE_PT_00154,P643,OCCURRED_AT,244
AE_FIRE_PT_00155,P459,OCCURRED_AT,181
AE_FIRE_PT_00156,P053,OCCURRED_AT,537
AE_FIRE_PT_00157,P041,OCCURRED_AT,584
AE_FIRE_PT_00158,P112,OCCURRED_AT,48
AE_FIRE_PT_00159,P601,OCCURRED_AT,88
AE_FIRE_PT_00160,P633,OCCURRED_AT,375
AE_FIRE_PT_00161,P136,OCCURRED_AT,200
AE_FIRE_PT_00164,P093,OCCURRED_AT,938
AE_FIRE_PT_00165,P018,OCCURRED_AT,230
AE_FIRE_PT_00166,P346,OCCURRED_AT,792
AE_FIRE_PT_00167,P734,OCCURRED_AT,159
AE_FIRE_PT_00168,P328,OCCURRED_AT,255
AE_FIRE_PT_00169,P164,OCCURRED_AT,90
AE_FIRE_PT_00170,P040,OCCURRED_AT,68
AE_FIRE_PT_00171,P953,OCCURRED_AT,299
AE_FIRE_PT_00173,P878,OCCURRED_AT,615
AE_FIRE_PT_00175,P227,OCCURRED_AT,64
AE_FIRE_PT_00176,P070,OCCURRED_AT,10
AE_FIRE_PT_00177,P825,OCCURRED_AT,825
AE_FIRE_PT_00178,P701,OCCURRED_AT,220
AE_FIRE_PT_00179,P031,OCCURRED_AT,675
AE_FIRE_PT_00180,P048,OCCURRED_AT,245
AE_FIRE_PT_00181,P415,OCCURRED_AT,53
AE_FIRE_PT_00182,P348,OCCURRED_AT,773
AE_FIRE_PT_00184,P023,OCCURRED_AT,56
AE_FIRE_PT_00185,P023,OCCURRED_AT,56
AE_FIRE_PT_00186,P143,OCCURRED_AT,218
AE_FIRE_PT_00187,P495,OCCURRED_AT,545
AE_FIRE_PT_00188,P053,OCCURRED_AT,346
AE_FIRE_PT_00189,P835,OCCURRED_AT,571
AE_FIRE_PT_00190,P197,OCCURRED_AT,195
AE_FIRE_PT_00191,P195,OCCURRED_AT,731
AE_FIRE_PT_00192,P830,OCCURRED_AT,474
AE_FIRE_PT_00193,P226,OCCURRED_AT,788
AE_FIRE_PT_00194,P226,OCCURRED_AT,788
AE_FIRE_PT_00195,P110,OCCURRED_AT,501
AE_FIRE_PT_00196,P110,OCCURRED_AT,501
AE_FIRE_PT_00197,P110,OCCURRED_AT,501
AE_FIRE_PT_00198,P677,OCCURRED_AT,882
AE_FIRE_PT_00199,P438,OCCURRED_AT,149
AE_FIRE_PT_00200,P411,OCCURRED_AT,678
AE_FIRE_PT_00201,P735,OCCURRED_AT,323
AE_FIRE_PT_00202,P196,OCCURRED_AT,147
AE_FIRE_PT_00203,P143,OCCURRED_AT,387
AE_FIRE_PT_00205,P154,OCCURRED_AT,75
AE_FIRE_PT_00206,P002,OCCURRED_AT,37
AE_FIRE_PT_00207,P256,OCCURRED_AT,64
AE_FIRE_PT_00208,P667,OCCURRED_AT,484
AE_FIRE_PT_00211,P898,OCCURRED_AT,145
AE_FIRE_PT_00212,P700,OCCURRED_AT,359
AE_FIRE_PT_00213,P143,OCCURRED_AT,152
AE_FIRE_PT_00214,P231,OCCURRED_AT,295
AE_FIRE_PT_00215,P090,OCCURRED_AT,224
AE_FIRE_PT_00216,P071,OCCURRED_AT,709
AE_FIRE_PT_00217,P219,OCCURRED_AT,156
AE_FIRE_PT_00218,P219,OCCURRED_AT,156
AE_FIRE_PT_00219,P401,OCCURRED_AT,131
AE_FIRE_PT_00220,P325,OCCURRED_AT,715
AE_FIRE_PT_00221,P397,OCCURRED_AT,392
AE_FIRE_PT_00222,P319,OCCURRED_AT,941
AE_FIRE_PT_00223,P319,OCCURRED_AT,941
AE_FIRE_PT_00224,P083,OCCURRED_AT,487
AE_FIRE_PT_00225,P131,OCCURRED_AT,52
AE_FIRE_PT_00226,P785,OCCURRED_AT,348
AE_FIRE_PT_00227,P785,OCCURRED_AT,348
AE_FIRE_PT_00228,P178,OCCURRED_AT,75
AE_FIRE_PT_00229,P734,OCCURRED_AT,10
AE_FIRE_PT_00230,P020,OCCURRED_AT,135
AE_FIRE_PT_00231,P178,OCCURRED_AT,55
AE_FIRE_PT_00232,P113,OCCURRED_AT,171
AE_FIRE_PT_00233,P350,OCCURRED_AT,196
AE_FIRE_PT_00234,P1011,OCCURRED_AT,203
AE_FIRE_PT_00235,P142,OCCURRED_AT,516
AE_FIRE_PT_00236,P237,OCCURRED_AT,40
AE_FIRE_PT_00237,P569,OCCURRED_AT,215
AE_FIRE_PT_00238,P047,OCCURRED_AT,616
AE_FIRE_PT_00239,P237,OCCURRED_AT,218
AE_FIRE_PT_00240,P389,OCCURRED_AT,169
AE_FIRE_PT_00241,P788,OCCURRED_AT,93
AE_FIRE_PT_00242,P648,OCCURRED_AT,844
AE_FIRE_PT_00243,P276,OCCURRED_AT,226
AE_FIRE_PT_00244,P178,OCCURRED_AT,212
AE_FIRE_PT_00245,P830,OCCURRED_AT,310
AE_FIRE_PT_00247,P536,OCCURRED_AT,523
AE_FIRE_PT_00248,P019,OCCURRED_AT,227
AE_FIRE_PT_00249,P006,OCCURRED_AT,237
AE_FIRE_PT_00250,P006,OCCURRED_AT,237
AE_FIRE_PT_00251,P006,OCCURRED_AT,237
AE_FIRE_PT_00252,P180,OCCURRED_AT,33
AE_FIRE_PT_00253,P014,OCCURRED_AT,572
AE_FIRE_PT_00254,P224,OCCURRED_AT,140
AE_FIRE_PT_00255,P461,OCCURRED_AT,950
AE_FIRE_PT_00256,P475,OCCURRED_AT,771
AE_FIRE_PT_00257,P301,OCCURRED_AT,31
AE_FIRE_PT_00258,P095,OCCURRED_AT,701
AE_FIRE_PT_00259,P095,OCCURRED_AT,701
AE_FIRE_PT_00260,P987,OCCURRED_AT,694
AE_FIRE_PT_00261,P987,OCCURRED_AT,694
AE_FIRE_PT_00262,P567,OCCURRED_AT,279
AE_FIRE_PT_00263,P147,OCCURRED_AT,281
AE_FIRE_PT_00264,P173,OCCURRED_AT,47
AE_FIRE_PT_00265,P048,OCCURRED_AT,337
AE_FIRE_PT_00266,P018,OCCURRED_AT,334
AE_FIRE_PT_00267,P733,OCCURRED_AT,114
AE_FIRE_PT_00268,P490,OCCURRED_AT,237
AE_FIRE_PT_00269,P344,OCCURRED_AT,774
AE_FIRE_PT_00270,P604,OCCURRED_AT,869
AE_FIRE_PT_00271,P604,OCCURRED_AT,869
AE_FIRE_PT_00272,P638,OCCURRED_AT,513
AE_FIRE_PT_00273,P638,OCCURRED_AT,513
AE_FIRE_PT_00274,P738,OCCURRED_AT,420
AE_FIRE_PT_00275,P179,OCCURRED_AT,454
AE_FIRE_PT_00276,P092,OCCURRED_AT,223
AE_FIRE_PT_00277,P317,OCCURRED_AT,69
AE_FIRE_PT_00278,P079,OCCURRED_AT,844
AE_FIRE_PT_00279,P047,OCCURRED_AT,342
AE_FIRE_PT_00280,P667,OCCURRED_AT,414
AE_FIRE_PT_00281,P092,OCCURRED_AT,223
AE_FIRE_PT_00282,P833,OCCURRED_AT,805
AE_FIRE_PT_00283,P833,OCCURRED_AT,805
AE_FIRE_PT_00284,P213,OCCURRED_AT,16
AE_FIRE_PT_00285,P153,OCCURRED_AT,86
AE_FIRE_PT_00286,P251,OCCURRED_AT,320
AE_FIRE_PT_00287,P601,OCCURRED_AT,72
AE_FIRE_PT_00288,P032,OCCURRED_AT,236
AE_FIRE_PT_00289,P032,OCCURRED_AT,236
AE_FIRE_PT_00290,P439,OCCURRED_AT,42
AE_FIRE_PT_00291,P091,OCCURRED_AT,60
AE_FIRE_PT_00292,P418,OCCURRED_AT,817
AE_FIRE_PT_00293,P060,OCCURRED_AT,11
AE_FIRE_PT_00294,P927,OCCURRED_AT,264
AE_FIRE_PT_00295,P140,OCCURRED_AT,263
AE_FIRE_PT_00296,P144,OCCURRED_AT,217
