placeId,activityId
P517,ACT_008
P518,ACT_013
P519,ACT_005
P519,ACT_008
P520,ACT_018
P520,ACT_005
P521,ACT_008
P522,ACT_018
P522,ACT_022
P523,ACT_018
P523,ACT_005
P524,ACT_005
P524,ACT_038
P525,ACT_008
P526,ACT_008
P527,ACT_018
P527,ACT_005
P528,ACT_010
P528,ACT_008
P529,ACT_008
P530,ACT_008
P531,ACT_018
P531,ACT_005
P532,ACT_018
P532,ACT_005
P533,ACT_008
P534,ACT_019
P534,ACT_011
P535,ACT_008
P536,ACT_005
P536,ACT_011
P537,ACT_005
P537,ACT_011
P538,ACT_018
P538,ACT_005
P539,ACT_018
P539,ACT_005
P540,ACT_020
P540,ACT_008
P541,ACT_005
P541,ACT_011
P542,ACT_008
P543,ACT_008
P544,ACT_003
P544,ACT_009
P545,ACT_018
P545,ACT_005
P546,ACT_007
P546,ACT_011
P547,ACT_008
P548,ACT_018
P549,ACT_007
P549,ACT_011
P550,ACT_005
P550,ACT_011
P551,ACT_018
P552,ACT_007
P552,ACT_011
P553,ACT_008
P554,ACT_007
P554,ACT_011
P555,ACT_007
P555,ACT_011
P556,ACT_008
P557,ACT_007
P557,ACT_011
P558,ACT_018
P559,ACT_018
P560,ACT_018
P561,ACT_005
P561,ACT_011
P562,ACT_005
P562,ACT_011
P563,ACT_008
P564,ACT_008
P565,ACT_008
P566,ACT_007
P566,ACT_011
P567,ACT_018
P568,ACT_007
P568,ACT_011
P569,ACT_008
P570,ACT_008
P571,ACT_008
P572,ACT_005
P572,ACT_011
P573,ACT_008
P574,ACT_008
P575,ACT_008
P576,ACT_008
P577,ACT_007
P577,ACT_011
P578,ACT_018
P579,ACT_005
P579,ACT_039
P580,ACT_005
P580,ACT_011
P581,ACT_018
P582,ACT_018
P583,ACT_018
P584,ACT_018
P585,ACT_008
P586,ACT_005
P586,ACT_039
P587,ACT_008
P588,ACT_008
P589,ACT_008
P590,ACT_008
P591,ACT_008
P592,ACT_008
P593,ACT_008
P594,ACT_005
P594,ACT_011
P595,ACT_005
P595,ACT_039
P596,ACT_005
P596,ACT_011
P597,ACT_008
P598,ACT_018
P599,ACT_018
P600,ACT_018
P601,ACT_018
P602,ACT_007
P602,ACT_011
P603,ACT_018
P604,ACT_007
P604,ACT_011
P605,ACT_018
P606,ACT_007
P606,ACT_011
P607,ACT_007
P607,ACT_011
P608,ACT_007
P608,ACT_011
P609,ACT_007
P609,ACT_011
P610,ACT_007
P610,ACT_011
P611,ACT_007
P611,ACT_011
P612,ACT_007
P612,ACT_011
P613,ACT_007
P613,ACT_011
P614,ACT_018
P615,ACT_007
P615,ACT_011
P616,ACT_007
P616,ACT_011
P617,ACT_008
P618,ACT_005
P618,ACT_039
P619,ACT_005
P619,ACT_011
P620,ACT_005
P620,ACT_011
P621,ACT_005
P621,ACT_011
P622,ACT_005
P622,ACT_011
P623,ACT_005
P623,ACT_011
P624,ACT_005
P624,ACT_011
P625,ACT_008
P626,ACT_018
P627,ACT_005
P627,ACT_011
P628,ACT_005
P628,ACT_011
P629,ACT_005
P629,ACT_039
P630,ACT_018
P631,ACT_018
P632,ACT_007
P632,ACT_011
P633,ACT_007
P633,ACT_011
P634,ACT_007
P634,ACT_011
P635,ACT_008
P636,ACT_018
P637,ACT_018
P638,ACT_003
P638,ACT_004
P639,ACT_008
P640,ACT_008
P641,ACT_008
P642,ACT_005
P642,ACT_039
P643,ACT_008
P644,ACT_008
P645,ACT_015
P646,ACT_015
P647,ACT_015
P648,ACT_008
P648,ACT_010
P649,ACT_008
P649,ACT_005
P650,ACT_008
P650,ACT_005
P651,ACT_005
P651,ACT_008
P652,ACT_008
P652,ACT_005
P653,ACT_008
P653,ACT_010
P654,ACT_040
P654,ACT_008
P655,ACT_008
P656,ACT_008
P657,ACT_008
P658,ACT_008
P659,ACT_008
P660,ACT_008
P661,ACT_008
P662,ACT_008
P663,ACT_008
P664,ACT_008
P665,ACT_008
P666,ACT_008
P667,ACT_005
P667,ACT_008
P668,ACT_008
P669,ACT_008
P670,ACT_008
P671,ACT_041
P671,ACT_005
P672,ACT_040
P672,ACT_008
P673,ACT_040
P673,ACT_042
P674,ACT_043
P675,ACT_043
P676,ACT_043
