placeId,region_id,relationship
P179,REG_서귀포시_성산읍,LOCATED_IN
P180,REG_서귀포시_색달동,LOCATED_IN
P181,REG_서귀포시_중문동,LOCATED_IN
P182,REG_서귀포시_서홍동,LOCATED_IN
P183,REG_제주시_조천읍,LOCATED_IN
P184,REG_제주시_구좌읍,LOCATED_IN
P185,REG_제주시_건입동,LOCATED_IN
P186,REG_서귀포시_색달동,LOCATED_IN
P187,REG_제주시_용담일동,LOCATED_IN
P188,REG_서귀포시_성산읍,LOCATED_IN
P189,REG_제주시_아라일동,LOCATED_IN
P190,REG_제주시_용담이동,LOCATED_IN
P191,REG_서귀포시_성산읍,LOCATED_IN
P192,REG_서귀포시_성산읍,LOCATED_IN
P193,REG_제주시_삼도이동,LOCATED_IN
P194,REG_제주시_용담일동,LOCATED_IN
P195,REG_제주시_애월읍,LOCATED_IN
P196,REG_제주시_용담이동,LOCATED_IN
P198,REG_서귀포시_중문동,LOCATED_IN
P199,REG_제주시_한림읍,LOCATED_IN
P200,REG_제주시_한림읍,LOCATED_IN
P201,REG_제주시_조천읍,LOCATED_IN
P202,REG_서귀포시_서귀동,LOCATED_IN
P203,REG_서귀포시_서귀동,LOCATED_IN
P204,REG_서귀포시_보목동,LOCATED_IN
P205,REG_제주시_추자면,LOCATED_IN
P206,REG_서귀포시_보목동,LOCATED_IN
P207,REG_서귀포시_서귀동,LOCATED_IN
P208,REG_서귀포시_안덕면,LOCATED_IN
P209,REG_서귀포시_서귀동,LOCATED_IN
P210,REG_제주시_일도일동,LOCATED_IN
P211,REG_제주시_이도일동,LOCATED_IN
P212,REG_서귀포시_성산읍,LOCATED_IN
P213,REG_제주시_도두일동,LOCATED_IN
P214,REG_제주시_아라일동,LOCATED_IN
P216,REG_서귀포시_안덕면,LOCATED_IN
P217,REG_서귀포시_색달동,LOCATED_IN
P218,REG_제주시_한림읍,LOCATED_IN
P219,REG_제주시_애월읍,LOCATED_IN
P220,REG_제주시_애월읍,LOCATED_IN
P221,REG_서귀포시_대정읍,LOCATED_IN
P222,REG_서귀포시_표선면,LOCATED_IN
P223,REG_서귀포시_표선면,LOCATED_IN
P224,REG_서귀포시_안덕면,LOCATED_IN
P225,REG_제주시_이도일동,LOCATED_IN
P226,REG_제주시_노형동,LOCATED_IN
P227,REG_제주시_우도면,LOCATED_IN
P228,REG_서귀포시_대정읍,LOCATED_IN
P229,REG_제주시_삼도이동,LOCATED_IN
P230,REG_제주시_조천읍,LOCATED_IN
P231,REG_서귀포시_서호동,LOCATED_IN
P232,REG_제주시_일도일동,LOCATED_IN
P233,REG_서귀포시_서홍동,LOCATED_IN
P234,REG_서귀포시_서귀동,LOCATED_IN
P235,REG_제주시_용담일동,LOCATED_IN
P236,REG_제주시_노형동,LOCATED_IN
P237,REG_제주시_도두일동,LOCATED_IN
