region_id,sigungu,emd,period,regionAccidentTotal,regionAccidentTypes,regionAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,regionRiskScore
REG_서귀포시_토평동,서귀포시,토평동,"2022-2023,2025",81,"RP_TRAFFIC_01:34, RP_SLIP_TERRAIN:26, RP_MACHINE_01:15, RP_ANIMAL_01:3, RP_FALL_CLIFF:2, RP_HEAT_02:1",27.0,3,0,0,0,2,0,1,15,26,34,0.1079
REG_서귀포시_표선면,서귀포시,표선면,"2022-2023,2025",268,"RP_SLIP_TERRAIN:107, RP_TRAFFIC_01:67, RP_MACHINE_01:60, RP_ANIMAL_01:19, RP_FALL_CLIFF:10, RP_CO_01:3, RP_DROWN_01:2",89.33,19,0,3,2,10,0,0,60,107,67,0.3568
REG_서귀포시_하예동,서귀포시,하예동,"2022-2023,2025",32,"RP_SLIP_TERRAIN:20, RP_MACHINE_01:6, RP_TRAFFIC_01:5, RP_CO_01:1",10.67,0,0,1,0,0,0,0,6,20,5,0.0426
REG_서귀포시_하원동,서귀포시,하원동,"2022-2023,2025",46,"RP_SLIP_TERRAIN:21, RP_TRAFFIC_01:19, RP_FALL_CLIFF:3, RP_MACHINE_01:2, RP_ANIMAL_01:1",15.33,1,0,0,0,3,0,0,2,21,19,0.0612
REG_서귀포시_하효동,서귀포시,하효동,"2022-2023,2025",20,"RP_SLIP_TERRAIN:7, RP_TRAFFIC_01:7, RP_MACHINE_01:4, RP_ANIMAL_01:1, RP_DROWN_01:1",6.67,1,0,0,1,0,0,0,4,7,7,0.0266
REG_서귀포시_호근동,서귀포시,호근동,"2022-2023,2025",25,"RP_SLIP_TERRAIN:18, RP_FALL_CLIFF:4, RP_MACHINE_01:2, RP_TRAFFIC_01:1",8.33,0,0,0,0,4,0,0,2,18,1,0.0333
REG_서귀포시_회수동,서귀포시,회수동,"2022-2023,2025",25,"RP_TRAFFIC_01:15, RP_SLIP_TERRAIN:8, RP_ANIMAL_01:2",8.33,2,0,0,0,0,0,0,0,8,15,0.0333
REG_제주시_건입동,제주시,건입동,"2022-2023,2025",109,"RP_SLIP_TERRAIN:45, RP_TRAFFIC_01:31, RP_MACHINE_01:24, RP_FALL_CLIFF:9",36.33,0,0,0,0,9,0,0,24,45,31,0.1451
REG_제주시_구좌읍,제주시,구좌읍,"2022-2023,2025",529,"RP_TRAFFIC_01:207, RP_SLIP_TERRAIN:183, RP_MACHINE_01:63, RP_ANIMAL_01:34, RP_FALL_CLIFF:20, RP_DROWN_01:13, RP_FIRE_01:4, RP_CO_01:3, RP_HEAT_02:2",176.33,34,0,3,13,20,4,2,63,183,207,0.7044
REG_제주시_내도동,제주시,내도동,"2022-2023,2025",10,"RP_TRAFFIC_01:3, RP_MACHINE_01:3, RP_SLIP_TERRAIN:3, RP_FALL_CLIFF:1",3.33,0,0,0,0,1,0,0,3,3,3,0.0133
REG_제주시_노형동,제주시,노형동,"2022-2023,2025",184,"RP_SLIP_TERRAIN:79, RP_TRAFFIC_01:63, RP_MACHINE_01:33, RP_CO_01:4, RP_FALL_CLIFF:3, RP_ANIMAL_01:2",61.33,2,0,4,0,3,0,0,33,79,63,0.245
REG_제주시_도남동,제주시,도남동,"2022-2023,2025",21,"RP_TRAFFIC_01:8, RP_MACHINE_01:7, RP_SLIP_TERRAIN:5, RP_FALL_CLIFF:1",7.0,0,0,0,0,1,0,0,7,5,8,0.028
REG_제주시_도두이동,제주시,도두이동,"2022-2023,2025",22,"RP_TRAFFIC_01:9, RP_SLIP_TERRAIN:7, RP_MACHINE_01:3, RP_FALL_CLIFF:2, RP_CO_01:1",7.33,0,0,1,0,2,0,0,3,7,9,0.0293
REG_제주시_도두일동,제주시,도두일동,"2022-2023,2025",75,"RP_SLIP_TERRAIN:44, RP_MACHINE_01:14, RP_TRAFFIC_01:11, RP_FALL_CLIFF:4, RP_CO_01:2",25.0,0,0,2,0,4,0,0,14,44,11,0.0999
