risk_id,placeId,relationship
RP_WIND_01,P920,APPLIES_TO
RP_WIND_01,P921,APPLIES_TO
RP_WIND_01,P922,APPLIES_TO
RP_WIND_01,P923,APPLIES_TO
RP_WIND_01,P924,APPLIES_TO
RP_WIND_01,P925,APPLIES_TO
RP_WIND_01,P926,APPLIES_TO
RP_WIND_01,P927,APPLIES_TO
RP_WIND_02,P004,APPLIES_TO
RP_WIND_02,P005,APPLIES_TO
RP_WIND_02,P006,APPLIES_TO
RP_WIND_02,P008,APPLIES_TO
RP_WIND_02,P010,APPLIES_TO
RP_WIND_02,P011,APPLIES_TO
RP_WIND_02,P012,APPLIES_TO
RP_WIND_02,P013,APPLIES_TO
RP_WIND_02,P022,APPLIES_TO
RP_WIND_02,P026,APPLIES_TO
RP_WIND_02,P028,APPLIES_TO
RP_WIND_02,P030,APPLIES_TO
RP_WIND_02,P035,APPLIES_TO
RP_WIND_02,P036,APPLIES_TO
RP_WIND_02,P038,APPLIES_TO
RP_WIND_02,P049,APPLIES_TO
RP_WIND_02,P051,APPLIES_TO
RP_WIND_02,P053,APPLIES_TO
RP_WIND_02,P055,APPLIES_TO
RP_WIND_02,P060,APPLIES_TO
RP_WIND_02,P066,APPLIES_TO
RP_WIND_02,P085,APPLIES_TO
RP_WIND_02,P094,APPLIES_TO
RP_WIND_02,P099,APPLIES_TO
RP_WIND_02,P102,APPLIES_TO
RP_WIND_02,P104,APPLIES_TO
RP_WIND_02,P118,APPLIES_TO
RP_WIND_02,P125,APPLIES_TO
RP_WIND_02,P126,APPLIES_TO
RP_WIND_02,P129,APPLIES_TO
RP_WIND_02,P130,APPLIES_TO
RP_WIND_02,P139,APPLIES_TO
RP_WIND_02,P145,APPLIES_TO
RP_WIND_02,P146,APPLIES_TO
RP_WIND_02,P162,APPLIES_TO
RP_WIND_02,P165,APPLIES_TO
RP_WIND_02,P171,APPLIES_TO
RP_WIND_02,P172,APPLIES_TO
RP_WIND_02,P173,APPLIES_TO
RP_WIND_02,P184,APPLIES_TO
RP_WIND_02,P189,APPLIES_TO
RP_WIND_02,P191,APPLIES_TO
RP_WIND_02,P195,APPLIES_TO
RP_WIND_02,P201,APPLIES_TO
RP_WIND_02,P204,APPLIES_TO
RP_WIND_02,P207,APPLIES_TO
RP_WIND_02,P215,APPLIES_TO
RP_WIND_02,P216,APPLIES_TO
RP_WIND_02,P218,APPLIES_TO
RP_WIND_02,P220,APPLIES_TO
RP_WIND_02,P223,APPLIES_TO
RP_WIND_02,P224,APPLIES_TO
RP_WIND_02,P227,APPLIES_TO
RP_WIND_02,P228,APPLIES_TO
RP_WIND_02,P233,APPLIES_TO
RP_WIND_02,P238,APPLIES_TO
RP_WIND_02,P240,APPLIES_TO
RP_WIND_02,P245,APPLIES_TO
RP_WIND_02,P247,APPLIES_TO
RP_WIND_02,P250,APPLIES_TO
RP_WIND_02,P252,APPLIES_TO
RP_WIND_02,P255,APPLIES_TO
RP_WIND_02,P257,APPLIES_TO
RP_WIND_02,P260,APPLIES_TO
RP_WIND_02,P262,APPLIES_TO
RP_WIND_02,P267,APPLIES_TO
RP_WIND_02,P268,APPLIES_TO
RP_WIND_02,P272,APPLIES_TO
RP_WIND_02,P276,APPLIES_TO
RP_WIND_02,P279,APPLIES_TO
RP_WIND_02,P281,APPLIES_TO
